"","CodAlumno","IdCursoPeriodo","Periodo","SiglaCurso","Seccion","Año","Semestre","NotaFinal","Ranking"
"1",305619,"35A8C736-DE1F-4CE8-B29A-2AAD3831F770",20231,"MAT1203",2,2023,1,"4.8",47
"2",305619,"83C6959B-D11C-4F19-8645-3EEB4D070FF9",20232,"MAT1620",9,2023,2,"5.3",19
"3",305619,"26B741AD-27E4-4929-A534-CE7784FC7D64",20231,"MAT1620",2,2023,1,"3.8",43
"4",344276,"669C51DD-B275-4330-B77B-0C8511799DF8",20232,"MAT1610",99,2023,2,"4.4",7
"5",344276,"3DE43D24-7615-465B-999B-A0521615C44C",20232,"MAT1620",99,2023,2,"5",4
"6",344276,"AA2D009B-2D96-4ACA-9220-D1520287A88E",20232,"MAT1203",99,2023,2,"4.2",4
"7",383009,"634FD429-F540-4E36-9DDC-0331B4DF651A",20231,"MAT1610",2,2023,1,"2.6",5
"8",383009,"35A8C736-DE1F-4CE8-B29A-2AAD3831F770",20231,"MAT1203",2,2023,1,"2.1",72
"9",386758,"3EFBD6A3-240D-4A8B-B368-D74E77F139CA",20242,"MAT1620",1,2024,2,NA,1
"10",392777,"30A43B92-05B0-4C90-952D-7CB1B5D198C5",20241,"MAT1610",17,2024,1,"1.8",49
"11",392777,"DD94251F-8194-408E-93A2-A257F71A53C3",20232,"MAT1610",14,2023,2,"1.7",22
"12",396576,"0F9F5B83-9185-4C92-B764-97EF0147B054",20231,"MAT1620",5,2023,1,"2.3",41
"13",396576,"3EFBD6A3-240D-4A8B-B368-D74E77F139CA",20242,"MAT1620",1,2024,2,NA,1
"14",396576,"D26A6EEA-5393-43DD-918C-E6890A13F577",20241,"MAT1620",1,2024,1,"2.8",27
"15",396582,"46EEED83-6167-4F48-AAFA-463E21552DCB",20231,"MAT1620",3,2023,1,"1.4",11
"16",396582,"A33554AE-30E1-4B40-A4AF-8F4B1E0E4789",20241,"MAT1620",8,2024,1,"3.2",9
"17",396582,"9DCAA738-76A6-4659-843B-F9727391F2F4",20242,"MAT1620",5,2024,2,NA,1
"18",396659,"0AEEF5F8-BA3C-42C1-8901-29ED83BE5AB5",20232,"MAT1620",8,2023,2,"4",63
"19",396659,"CAE73D5E-6E11-4B42-A890-6CB60C62B755",20231,"MAT1620",8,2023,1,"2.1",15
"20",396778,"46EEED83-6167-4F48-AAFA-463E21552DCB",20231,"MAT1620",3,2023,1,"2.8",7
